1  66
1  4  -1.11596  -10.1741  -1.67065  10.4785  1.5  0  0  0  0.164102  104  0
2  21  18.4988  35.9714  -102.589  110.275  0  0  0  0  0  101  109
3  2  -7.44563  7.73499  -12.9834  16.8507  0.33  0  0  0  0.0514821  103  0
4  21  -13.0435  -37.6399  -34.787  52.887  0  0  0  0  0  114  104
5  21  1.26228  0.999345  -0.600063  1.71818  0  0  0  0  0.39061  109  103
6  21  2.3721  -0.668558  -2.83186  3.7541  0  0  0  0  0.130475  102  120
7  -4  0.821031  0.0261349  15.3742  15.469  1.5  0  0  0  7.0377  0  136
8  21  -0.457685  -1.00472  2.87212  3.07701  0  0  0  0  0.188713  105  139
9  21  0.387439  4.46955  -24.0625  24.4772  0  0  0  0  0  107  150
10  21  -2.03121  -1.8972  -1.60119  3.20765  0  0  0  0  0.0724954  132  169
11  21  -1.3856  -3.303  30.542  30.7513  0  0  0  0  0  106  147
12  21  0.174764  0.443484  -0.160467  0.502962  0  0  0  0  0.848101  177  121
13  21  -4.68481  6.01081  69.8973  70.3115  0  0  0  0  32.8684  110  112
14  21  2.22195  -2.75099  16.059  16.4437  0  0  0  0  33.091  112  118
15  21  0.420556  -0.771058  1.82016  2.02099  0  0  0  0  33.8086  115  101
16  2  0.889405  -1.32501  216.278  216.284  0.33  0  0  0  0  111  0
17  21  0.0374201  2.04405  34.005  34.0664  0  0  0  0  0  113  110
18  21  -2.01354  -0.502579  -1.9122  2.82196  0  0  0  0  0.141711  120  114
19  21  4.14305  -1.54166  13.9178  14.603  0  0  0  0  0  118  115
20  21  0.797601  1.34855  -788.467  788.469  0  0  0  0  0  119  102
21  21  0.415644  1.19833  -1.93905  2.31704  0  0  0  0  68.7815  124  107
22  21  0.198947  -1.35925  -29.9922  30.0237  0  0  0  0  68.2805  122  151
23  21  0.883414  1.7932  -0.784523  2.14743  0  0  0  0  0  121  157
24  21  0.906964  -0.0154  -48.9001  48.9085  0  0  0  0  0  123  154
25  21  2.27749  -2.15168  12.7256  13.1057  0  0  0  0  0.522143  128  106
26  21  -1.61461  0.456779  97.9599  97.9743  0  0  0  0  0  126  142
27  -2  3.90778  1.10357  3.55039  5.40396  0.33  0  0  0  0.352444  0  130
28  21  -2.43395  -2.44331  -38.9383  39.0908  0  0  0  0  0  131  122
29  1  3.08834  3.06725  85.2717  85.3833  0.33  0  0  0  0  134  0
30  21  -3.28458  -1.03459  -41.6081  41.7503  0  0  0  0  2.79229  133  131
31  21  1.39304  -0.280998  -4.34133  4.568  0  0  0  0  50.3498  135  144
32  21  0.0918002  3.02211  -83.1176  83.1726  0  0  0  0  0  154  152
33  21  0.569461  1.67768  28.9753  29.0295  0  0  0  0  0  140  141
34  21  -0.234356  -1.95442  48.988  49.0275  0  0  0  0  2.08679  138  170
35  21  -1.92772  1.11334  1.48132  2.67393  0  0  0  0  214.533  139  162
36  21  -0.0937415  -1.61883  22.0027  22.0624  0  0  0  0  5.12573  147  148
37  21  1.97447  -0.891754  -19.2171  19.3388  0  0  0  0  0  146  135
38  21  -2.93937  -1.07852  13.3498  13.712  0  0  0  0  1706.49  141  105
39  21  0.299034  1.63542  -0.238289  1.67952  0  0  0  0  1706.68  136  177
40  21  0.225375  -0.738994  1.05112  1.30451  0  0  0  0  5.06377  144  128
41  21  0.697542  0.265746  14.5607  14.5798  0  0  0  0  1695.81  142  140
42  21  0.107622  -1.95515  -3.27126  3.81252  0  0  0  0  0  161  156
43  21  -0.781884  0.0117564  83.2934  83.297  0  0  0  0  0  178  126
44  21  -1.52887  2.13701  -33.4823  33.5853  0  0  0  0  1.94012  152  108
45  21  -1.13959  -1.89941  -327.986  327.993  0  0  0  0  0  151  123
46  21  -1.72455  0.386173  1.05836  2.05993  0  0  0  0  0  162  132
47  21  0.651283  -0.551312  -10.7629  10.7967  0  0  0  0  5.96851  150  146
48  21  -0.572984  -0.679454  -5.57338  5.6438  0  0  0  0  0  156  133
49  21  0.217137  0.870649  -0.70927  1.14378  0  0  0  0  0.413915  157  124
50  21  1.26204  -0.058588  761.824  761.825  0  0  0  0  0  158  178
51  2  -1.03654  -0.11771  136.821  136.825  0.33  0  0  0  38.9524  155  0
52  21  0.47202  0.628601  72.7918  72.7961  0  0  0  0  0  170  158
53  21  -0.730026  -0.420281  -0.974046  1.28777  0  0  0  0  0.51738  169  161
54  2  0.119415  -0.688832  33.6281  33.637  0.33  0  0  0  0  130  0
55  2  -0.16931  0.874268  25.2996  25.3174  0.33  0  0  0  8.65898  148  0
56  2  -0.0275229  1.06182  66.9205  66.9297  0.33  0  0  0  0  175  0
57  -1  -0.885143  -1.2138  -54.1047  54.1266  0.33  0  0  0  16.4238  0  175
58  2  -0.176083  -0.593088  569.116  569.117  0.33  0  0  0  0  179  0
59  2101  0.280775  0.985681  -650.95  650.951  0.57933  0  0  0  0  0  155
60  -2  0.76802  0.302705  -18.5158  18.5371  0.33  0  0  0  0  0  134
61  -2  0.477188  0.526017  -1.8158  1.97749  0.33  0  0  0  0  0  113
62  -2  -0.0847234  0.48033  -2.48897  2.55769  0.33  0  0  0  0  0  119
63  1  0.252251  0.67742  -130.059  130.062  0.33  0  0  0  0  108  0
64  -3  0.1  0.2  -0.1  0.556776  0.5  0  0  0  100  0  111
65  -3  0.1  0.2  -0.1  0.556776  0.5  0  0  0  100  0  138
66  -3  0.1  0.2  -0.1  0.556776  0.5  0  0  0  100  0  179
2  36
1  21  7.5617  -9.58753  12.52  17.4886  0  0  0  0  0  122  113
